Артикул;Цена;Остаток;
17906/15/12;22247;0;
17906/20/12;31007;0;
17906/20/31;26706;0;
17941/12/11;18779;0;
17949/14/31;20152;0;
17949/21/31;3864;6;
17949/22/31;11142;0;
17992/10/17;8430;0;
17992/15/17;12644;0;
18652/06/30;10899;0;
18652/06/31;10899;0;
22952/02/12;8202;11;
22952/02/31;9282;5;
23240/04/31;19577;0;
23242/06/31;21130;0;
23945/06/31;15203;0;
23945/12/31;24903;0;
23948/09/31;9450;1;
26994/05/31;3260;12;
26994/10/31;8441;0;
26994/15/31;12451;0;
26994/20/31;17205;0;
28850/24/30;24223;0;
28851/61/30;27845;0;
28857/06/30;20407;0;
28857/60/31;15957;0;
31598/81/97;53038;0;
31798/81/97;108727;1;
61460/30/43;7432;0;
71432/40/35;14733;0;
71543/01/72;11395;0;
71550/01/32;6744;0;
71550/01/60;5622;0;
71550/01/85;6699;0;
71745/01/31;42365;0;
78310/32/17;10977;0;
78310/32/30;10775;0;
78310/32/31;9438;0;
79164/08/61;6390;2;
79167/12/12;8887;0;
79170/12/11;13100;0;
79170/15/11;16909;0;
45945;399;0;
46324;2990;0;
421013406;12650;15;
813010401;4840;0;
492020701;4090;0;
803021;5457;10;
803023;5413;10;
803031;5684;10;
803033;5675;6;
803041;6059;10;
803043;6178;10;
803141;13662;0;
803161;18216;0;
БЗ-1000;950;0;
154212;18909;0;
133481;18922;0;
133482;20130;0;
133592;12667;0;
133464;8000;0;
133444;20667;0;
149385;6303;0;
165350;10182;0;
165358;26303;0;
165100;11758;0;
165140;21152;0;
165340;12115;0;
147559;12749;0;
132021;5402;0;
132024;5402;0;
132020;5402;0;
155236;18922;0;
155001;17879;0;
157052;18122;0;
160202;9818;0;
160791;9818;0;
147566;5940;0;
147591;7570;0;
117134;16061;0;
117104;9394;0;
117124;10849;0;
149144;13879;0;
147361;6576;0;
147441;5670;0;
147442;11407;0;
147443;15165;0;
147444;18922;0;
151910;7576;0;
151914;9030;0;
116202;4152;0;
116204;3933;0;
114730;2358;0;
114740;2358;0;
149274;9085;0;
151390;5327;0;
111482;5879;0;
157472;13637;0;
151282;15299;0;
147519;5388;0;
147529;16104;0;
151411;18788;0;
143482;5303;0;
143594;20667;0;
143442;8455;0;
143432;12615;0;
143392;5670;0;
143131;705;0;
143031;1510;0;
143032;1510;0;
143041;1510;0;
143042;1510;0;
185592;8606;0;
185590;22546;0;
185450;5879;0;
185582;8606;0;
185580;22546;0;
185622;5697;0;
185632;5333;0;
184624;5333;0;
184634;12615;0;
184071;13554;0;
184452;14091;0;
N1524-KG;373;0;
SA1525-NM;134;8;
SA1525-RAB;140;6;
N1519-MC;637;1;
N1519-NM;544;1;
